"name","isAlcohol","picture","Glass","instruction","ingredients_combined","ingredients_list"
"화이트 라이센스 플레이트를 단 '57 쉐비","Alcoholic","http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg","Highball glass","1. 락 글라스에 얼음을 채웁니다 2. 화이트 크렘 드 카카오와 보드카를 넣습니다 3. 저어줍니다","1 oz white Creme de Cacao, 1 oz Vodka","['Creme de Cacao', 'Vodka']"
"155 벨몬트","Alcoholic","http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg","White wine glass","얼음과 함께 블렌더에 갈아줍니다. 와인 글라스에 담고 당근으로 장식합니다.","1 shot Dark rum, 2 shots Light rum, 1 shot Vodka, 1 shot Orange juice","['Dark rum', 'Light rum', 'Vodka', 'Orange juice']"
"9 1/2 주간","Alcoholic","http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg","Cocktail glass","모든 재료를 글라스 믹서에 넣습니다. 차갑게 식히고 칵테일 글라스에 따릅니다. 슬라이스한 딸기로 장식합니다.","2 oz Absolut Citron, 1/2 oz Orange Curacao, 1 splash Strawberry liqueur, 1 oz Orange juice","['Absolut Citron', 'Orange Curacao', 'Strawberry liqueur', 'Orange juice']"
"길리건스 아일랜드","Alcoholic","http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg","Collins glass","흔들어주세요, 저으면 안 됩니다!","1 oz Vodka, 1 oz Peach schnapps, 3 oz Orange juice, 3 oz Cranberry juice","['Vodka', 'Peach schnapps', 'Orange juice', 'Cranberry juice']"
"진짜 아마레또 사워","Alcoholic","http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg","Old-fashioned glass","올드 패션드 글라스의 가장자리를 레몬으로 문지르고, 설탕에 여러 번 담가 좋은 '프로스티드' 테두리를 만듭니다. 아마레또 1 지거와 레몬 1/2개의 즙을 흔들어줍니다. 글라스에 거르고 얼음을 넣습니다. 마라스키노 체리로 장식합니다.","1 jigger Amaretto, Juice of 1/2 Lemon, Ice, Maraschino cherry","['Amaretto', 'Lemon', 'Ice', 'Maraschino cherry']"
"A.D.M. (애프터 디너 민트)","Alcoholic","http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg","Irish coffee cup","세게 흔들어줍니다","1/2 oz White Creme de Menthe, 3/4 oz Southern Comfort, 1/2 oz Vodka, Fill with Hot chocolate","['White Creme de Menthe', 'Southern Comfort', 'Vodka', 'Hot chocolate']"
"A1","Alcoholic","http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg","Cocktail glass","모든 재료를 칵테일 셰이커에 넣고 섞은 후 차갑게 식힌 글라스에 얼음과 함께 서빙합니다.","1 3/4 shot Gin, 1 Shot Grand Marnier, 1/4 Shot Lemon Juice, 1/8 Shot Grenadine","['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']"
"애비 마티니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg","Cocktail glass","모든 재료를 셰이커에 넣고 섞은 후 차갑게 식힌 칵테일 글라스에 거릅니다.","2 shots Gin, 1 shot Sweet Vermouth, 1 shot Orange Juice, 3 dashes Angostura Bitters","['Gin', 'Sweet Vermouth', 'Orange Juice', 'Angostura Bitters']"
"앱솔루트 섬머타임","Alcoholic","http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg","Collins glass","레몬을 제외한 모든 재료를 얼음을 채운 셰이커에 넣습니다. 덮고 세게 흔들어줍니다. 얼음을 채운 콜린스 글라스에 내용물을 거릅니다. 레몬으로 장식합니다.","1 1/2 oz Absolut Citron, 3/4 oz Sweet and sour, 1/2 oz Sprite, 3 oz Soda water, 1 slice Lemon","['Absolut Citron', 'Sweet and sour', 'Sprite', 'Soda water', 'Lemon']"
"절대적으로 멋진","Alcoholic","http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg","Champagne flute","보드카와 크랜베리 주스를 셰이커에 함께 섞어 글라스에 거릅니다. 샴페인으로 채웁니다.","1 shot Vodka, 2 shots Cranberry Juice, Top up with Champagne","['Vodka', 'Cranberry Juice', 'Champagne']"
